id,title,value
0,Price 52W Min,10.50
1,Price 52W Max,22.21
3,Liquidity (Avg.10d),0.23
4,Capitalization,4408.43
5,Quick Ratio,3.90
6,Current Ratio,4.70
7,D/E,0.12
8,Debt ratio (DTI),0.11
9,P/E,8.87
10,P/B,0.85
11,EPS,"1,551"
