price,area,pricePerM2,date
2.9,73,39.73,2023/03/24
3.3,71,46.48,2023/03/24
2.6,71,36.62,2023/03/24
3.1,71,43.66,2023/03/24
,140,,2023/03/24
5.3,130,40.77,2023/03/24
3,71,42.25,2023/03/24
3.2,71,45.07,2023/03/24
3,71,42.25,2023/03/23
2.9,71,40.84,2023/03/23
3.4,71,47.89,2023/03/22
2.87,71,40.42,2023/03/22
,71,,2023/03/22
,87,,2023/03/22
3.345,80.1,41.76,2023/03/22
3.6,87,41.38,2023/03/22
2.8,71,39.44,2023/03/22
3.9,98,39.8,2023/03/22
2.8,71,39.44,2023/03/22
3.5,71,49.3,2023/03/22
