id,title,value
0,Price 52W Min,8.88
1,Price 52W Max,26.74
3,Liquidity (Avg.10d),0.46
4,Capitalization,4539.31
5,Quick Ratio,0.95
6,Current Ratio,1.02
7,D/E,2.04
8,Debt ratio (DTI),0.67
9,P/E,14.38
10,P/B,0.81
11,EPS,981
